Estudiante,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5
1.0,0.69,2.47,4.93,0.39,0.59
2.0,4.33,1.57,1.77,2.7,4.96
3.0,1.7,0.92,1.78,4.8,1.8
4.0,2.7,3.56,0.37,3.95,2.37
5.0,3.46,4.85,1.47,2.09,4.07
6.0,0.5,4.34,2.56,2.79,0.25
7.0,1.63,3.08,2.91,4.93,3.62
8.0,1.59,2.75,4.61,0.9,3.26
9.0,3.5,1.83,3.71,0.49,2.4
10.0,4.55,4.14,1.15,1.21,2.19
11.0,1.66,1.34,0.24,4.7,1.67
12.0,4.86,4.4,0.35,0.93,1.14
13.0,2.62,1.83,1.08,4.59,0.24
14.0,4.35,1.14,2.27,1.91,3.89
15.0,2.22,4.77,4.57,4.66,1.3
16.0,4.94,4.53,0.16,2.34,2.02
17.0,4.42,2.85,4.04,3.87,1.88
18.0,4.24,0.52,3.24,1.43,3.21
19.0,0.37,4.06,0.66,0.19,2.86
20.0,4.2,1.25,2.25,1.14,0.01
21.0,1.9,3.7,2.2,3.55,0.52
22.0,0.69,4.09,0.24,4.08,0.19
23.0,4.61,0.79,0.31,0.38,4.11
24.0,1.02,2.63,2.99,0.07,3.24
25.0,2.56,3.07,3.12,0.67,1.63
26.0,1.26,2.74,1.13,2.51,0.0
27.0,4.71,0.2,1.0,4.7,2.89
28.0,2.51,3.58,4.71,4.83,4.84
29.0,1.35,1.38,2.46,0.89,0.08
30.0,1.52,0.36,4.6,4.32,1.41
31.0,0.74,4.73,3.09,0.13,2.04
32.0,2.49,4.95,3.03,3.24,2.49
33.0,3.58,2.28,3.4,4.51,3.89
34.0,2.04,1.04,3.62,4.79,3.29
35.0,4.61,0.5,2.19,0.55,1.48
36.0,1.74,3.98,3.19,0.55,1.65
37.0,4.43,0.18,2.53,4.13,1.24
38.0,4.04,4.54,0.36,4.43,2.16
39.0,4.11,1.13,4.11,2.93,4.06
40.0,3.85,4.0,1.78,1.63,1.28
41.0,1.4,2.74,3.41,0.39,0.07
42.0,2.67,0.64,2.74,3.9,2.02
43.0,0.78,3.7,0.73,0.51,1.99
44.0,2.13,2.49,1.47,1.44,1.61
45.0,0.02,1.46,0.98,1.77,0.33
46.0,3.23,1.81,2.36,1.64,0.33
47.0,2.77,3.22,0.08,0.7,2.89
48.0,2.84,4.06,4.26,1.11,4.97
49.0,2.38,4.72,2.32,3.14,1.57
50.0,4.7,0.96,1.44,4.57,1.83
51.0,4.38,3.3,2.55,1.53,4.27
52.0,4.24,1.71,3.65,1.11,2.68
53.0,1.33,3.11,4.7,0.15,3.48
54.0,4.28,0.63,0.57,0.44,4.36
55.0,2.28,0.91,0.16,4.13,0.66
56.0,1.98,3.59,2.11,0.38,0.83
57.0,3.34,3.19,2.06,2.24,0.48
58.0,3.08,3.83,0.02,3.32,2.33
59.0,0.95,4.52,0.68,0.65,3.04
60.0,0.66,2.1,0.14,4.45,0.15
61.0,0.22,3.95,2.74,4.31,0.98
62.0,1.18,0.84,4.35,1.92,1.79
63.0,4.73,3.23,0.84,1.31,1.74
64.0,1.17,2.58,1.43,0.32,3.48
65.0,2.64,3.39,2.84,4.22,0.06
66.0,0.65,1.24,1.02,2.71,2.82
67.0,2.18,1.86,4.89,4.44,3.76
68.0,2.94,4.6,3.72,3.32,0.46
69.0,1.62,2.87,4.82,0.21,2.75
70.0,2.8,1.18,3.13,0.23,2.6
71.0,0.59,1.79,3.47,4.37,1.5
72.0,0.95,2.12,1.22,2.04,2.42
73.0,4.19,0.04,2.08,3.17,1.84
74.0,2.85,0.13,0.53,2.69,3.65
75.0,3.73,0.7,3.39,2.06,3.7
76.0,1.46,0.47,2.98,3.93,1.53
77.0,3.7,1.26,0.97,3.54,1.3
78.0,1.2,0.85,1.75,3.61,4.21
79.0,4.35,2.08,4.95,0.74,2.01
80.0,3.55,3.1,2.43,3.15,4.35
81.0,4.65,0.87,4.74,2.47,3.25
82.0,3.96,4.27,3.58,0.86,4.09
83.0,3.52,1.82,3.71,0.17,3.16
84.0,2.46,2.16,2.52,0.97,4.65
85.0,4.21,2.38,4.56,3.33,1.82
86.0,3.44,0.07,4.64,2.81,4.29
87.0,1.35,3.45,2.14,1.59,0.5
88.0,0.5,4.29,2.66,1.04,3.42
89.0,2.58,4.02,4.21,1.83,1.82
90.0,1.04,4.52,3.95,2.98,3.44
91.0,3.13,4.7,2.72,0.26,1.88
92.0,1.58,4.18,3.0,1.9,3.2
93.0,0.62,0.54,4.82,2.42,2.97
94.0,0.32,0.36,0.09,3.52,2.05
95.0,0.31,0.7,1.87,1.68,3.22
96.0,1.84,3.38,1.03,4.16,4.07
97.0,1.71,1.75,4.81,4.21,1.14
98.0,0.53,4.76,1.92,3.12,3.73
99.0,3.7,4.89,4.07,0.42,3.07
100.0,0.55,1.88,0.21,1.66,4.72
