Estudiante,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5
1.0,0.1,1.85,4.58,3.16,4.33
2.0,1.88,2.59,0.96,4.75,0.86
3.0,1.18,0.5,0.51,1.69,2.36
4.0,2.63,2.21,1.88,4.89,3.49
5.0,1.62,0.25,4.53,2.0,4.09
6.0,1.56,2.31,1.7,2.85,1.69
7.0,3.48,2.19,2.62,2.77,0.4
8.0,1.15,3.65,4.91,2.08,1.61
9.0,4.92,2.64,2.98,4.73,4.31
10.0,3.37,2.97,3.15,2.04,4.8
11.0,1.04,2.06,1.34,2.04,1.63
12.0,4.31,2.82,0.28,1.73,4.63
13.0,4.31,3.7,3.84,2.81,3.64
14.0,2.43,0.56,2.88,1.6,2.71
15.0,4.0,3.02,2.17,3.16,4.95
16.0,2.62,4.21,4.31,3.55,0.63
17.0,4.67,0.17,4.58,0.6,0.95
18.0,2.33,2.27,0.04,4.42,4.57
19.0,1.96,1.44,3.0,1.08,2.54
20.0,2.46,4.9,0.97,3.21,0.12
21.0,4.86,4.33,1.89,1.33,0.29
22.0,3.39,0.65,2.12,1.59,0.18
23.0,3.54,1.69,0.04,0.08,1.05
24.0,1.2,0.28,4.66,1.2,2.11
25.0,0.98,1.76,1.31,2.9,4.79
26.0,1.46,1.34,4.28,0.38,3.85
27.0,0.32,0.63,0.42,0.8,2.08
28.0,1.94,4.55,2.11,0.56,4.98
29.0,2.43,2.0,3.16,1.12,1.05
30.0,3.57,3.48,4.73,0.02,3.81
31.0,1.67,1.97,0.07,0.37,4.79
32.0,3.8,1.97,2.64,0.98,3.65
33.0,3.17,0.55,0.51,4.96,3.9
34.0,4.58,0.12,1.92,1.39,3.35
35.0,4.26,0.31,2.99,2.67,0.21
36.0,1.95,0.52,3.48,0.0,1.07
37.0,0.12,3.32,2.35,0.64,1.01
38.0,4.22,1.94,4.85,3.82,3.61
39.0,1.22,1.2,4.24,1.51,0.92
40.0,4.9,1.71,0.86,1.24,4.89
41.0,0.01,3.47,0.13,1.1,3.39
42.0,1.21,0.14,4.1,2.04,2.02
43.0,1.17,1.16,4.39,1.58,0.76
44.0,2.84,0.43,2.7,3.96,4.16
45.0,4.63,4.5,2.64,0.16,4.92
46.0,3.83,2.77,4.98,1.04,1.39
47.0,2.6,4.99,3.44,1.4,2.27
48.0,4.46,2.17,3.1,3.5,3.49
49.0,3.11,1.34,0.99,0.03,4.62
50.0,1.48,2.01,4.16,0.76,0.41
51.0,2.41,2.7,4.51,4.71,4.7
52.0,0.76,2.05,4.21,1.38,3.18
53.0,3.1,0.71,4.24,1.35,3.57
54.0,4.12,0.75,2.2,3.74,3.29
55.0,4.12,3.76,4.21,0.97,4.02
56.0,0.02,4.75,1.71,1.02,2.72
57.0,4.95,0.83,1.9,2.64,0.14
58.0,2.85,3.15,4.96,3.1,4.91
59.0,1.95,3.41,1.65,3.89,1.12
60.0,1.6,3.21,1.99,1.02,1.13
61.0,0.65,0.09,4.28,0.32,1.79
62.0,4.47,1.34,4.08,4.23,1.56
63.0,1.48,2.67,4.98,0.27,0.42
64.0,0.27,3.83,2.36,2.0,3.25
65.0,3.49,4.89,3.51,2.11,0.11
66.0,1.95,4.62,4.49,2.15,0.36
67.0,4.92,2.81,3.09,2.01,3.71
68.0,3.05,1.84,3.39,2.22,0.56
69.0,3.44,2.92,3.36,2.13,0.35
70.0,0.46,2.22,4.54,3.14,4.26
71.0,0.58,0.69,3.17,4.35,3.36
72.0,1.34,4.62,2.49,3.36,4.21
73.0,4.6,2.29,3.96,4.23,4.63
74.0,1.54,0.59,1.83,4.4,3.94
75.0,0.31,3.39,2.84,1.06,2.11
76.0,4.82,0.5,1.25,4.59,0.52
77.0,1.33,3.85,2.53,0.47,1.21
78.0,3.05,3.34,0.07,4.76,1.81
79.0,0.49,0.25,0.13,4.49,1.62
80.0,0.33,1.93,2.2,1.06,1.43
81.0,0.11,4.7,0.39,4.99,1.33
82.0,3.68,4.03,2.02,2.44,2.09
83.0,3.42,0.92,4.03,3.93,0.97
84.0,1.97,1.17,1.87,3.24,0.56
85.0,0.92,0.45,2.7,2.47,3.56
86.0,0.49,4.18,3.67,3.03,4.01
87.0,0.11,2.91,2.21,4.73,3.16
88.0,0.88,0.68,3.49,1.65,2.95
89.0,1.74,2.33,1.36,1.92,0.45
90.0,1.47,0.02,3.92,3.69,4.89
91.0,0.04,3.45,0.17,3.82,4.95
92.0,4.45,4.02,2.2,4.6,3.42
93.0,4.64,2.09,3.68,4.72,1.1
94.0,1.19,4.67,3.2,3.25,1.04
95.0,2.96,0.59,4.61,2.41,4.83
96.0,1.87,1.77,0.81,4.35,0.65
97.0,0.14,1.52,1.96,1.85,4.75
98.0,2.19,3.01,3.63,0.47,4.81
99.0,1.06,0.21,4.76,1.0,4.39
100.0,2.84,4.72,2.65,4.67,2.58
