Estudiante,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5
1.0,2.27,4.0,2.29,3.5,2.92
2.0,2.19,0.64,0.6,3.95,3.63
3.0,0.0,4.61,4.26,3.73,3.9
4.0,3.28,0.54,2.89,0.82,0.85
5.0,4.01,4.72,3.2,1.11,4.32
6.0,1.49,1.88,0.5,4.7,1.41
7.0,3.61,2.1,2.12,3.77,2.42
8.0,3.14,2.75,2.6,2.34,0.7
9.0,4.62,1.66,4.29,3.84,3.82
10.0,2.66,2.73,1.06,3.19,0.43
11.0,1.85,3.21,0.21,2.1,2.04
12.0,1.49,1.67,0.22,2.76,2.56
13.0,2.61,1.3,4.15,2.54,2.0
14.0,1.05,4.12,3.16,2.86,2.95
15.0,0.04,4.02,0.57,2.66,4.15
16.0,3.65,1.71,3.0,3.98,2.85
17.0,1.46,1.55,1.59,1.87,4.74
18.0,0.83,1.38,0.96,0.55,2.17
19.0,0.69,0.23,2.75,1.25,3.08
20.0,2.75,2.9,4.74,3.4,3.9
21.0,3.59,0.8,4.91,2.54,0.18
22.0,2.52,0.23,3.57,4.94,1.41
23.0,3.64,1.2,3.22,1.18,3.0
24.0,2.9,4.93,3.49,3.97,0.08
25.0,1.2,0.7,0.39,4.83,0.82
26.0,1.8,4.83,0.93,1.08,0.71
27.0,2.76,1.95,1.4,4.05,1.24
28.0,1.92,4.51,0.61,1.13,1.42
29.0,0.79,0.78,1.07,1.42,1.03
30.0,1.46,3.47,1.95,1.71,2.55
31.0,3.26,0.67,1.85,0.88,3.33
32.0,0.15,0.42,4.29,1.99,3.05
33.0,3.14,1.6,4.66,0.98,0.23
34.0,3.02,2.63,4.83,4.86,1.73
35.0,2.02,2.4,0.73,0.01,3.07
36.0,2.39,2.11,0.13,4.42,4.11
37.0,2.84,2.28,1.68,0.0,3.93
38.0,0.78,2.46,4.49,2.28,1.17
39.0,4.88,3.17,2.69,0.44,0.44
40.0,4.47,2.31,1.21,2.01,4.71
41.0,1.08,0.6,4.78,0.32,0.44
42.0,0.88,3.8,2.99,1.06,4.77
43.0,0.89,1.7,0.81,2.92,0.07
44.0,3.77,2.31,4.16,1.6,2.48
45.0,0.27,0.8,3.52,3.0,1.37
46.0,1.76,2.36,3.48,4.23,3.18
47.0,1.37,3.05,1.86,3.61,1.03
48.0,4.37,3.79,2.46,0.59,2.36
49.0,4.8,4.35,0.98,2.56,1.48
50.0,1.67,0.44,1.08,4.58,0.74
51.0,4.16,2.16,1.3,3.9,4.73
52.0,2.27,0.78,4.96,3.83,4.0
53.0,0.41,4.68,2.39,1.28,3.12
54.0,3.0,0.37,1.04,1.99,0.17
55.0,4.0,3.68,0.77,3.7,0.93
56.0,3.59,0.34,0.14,1.82,1.78
57.0,0.67,2.86,4.67,3.18,3.6
58.0,1.57,1.12,2.82,0.64,4.01
59.0,3.66,2.28,1.46,2.42,2.15
60.0,4.52,0.27,0.62,3.12,4.38
61.0,0.04,3.25,1.26,4.99,1.8
62.0,4.45,4.16,2.93,3.87,1.75
63.0,3.97,1.82,3.75,3.07,0.69
64.0,4.69,1.85,3.92,0.66,4.81
65.0,3.57,1.94,4.03,3.82,4.45
66.0,2.8,4.82,0.54,4.36,2.31
67.0,2.41,2.25,4.7,1.97,3.25
68.0,4.09,3.91,4.75,2.44,4.71
69.0,3.98,4.67,2.11,0.15,0.68
70.0,3.15,1.49,2.86,4.04,3.95
71.0,3.41,2.05,2.23,4.15,0.27
72.0,1.89,2.01,4.83,1.61,3.96
73.0,2.9,4.31,2.96,3.8,2.68
74.0,3.14,2.69,4.04,2.24,0.35
75.0,3.51,0.41,3.05,4.64,4.73
76.0,4.45,2.26,1.18,2.91,1.14
77.0,0.81,4.9,4.43,4.86,4.42
78.0,4.31,4.86,2.97,0.35,3.85
79.0,4.55,1.3,2.91,1.85,4.38
80.0,3.17,3.08,3.23,4.03,0.39
81.0,2.27,2.71,2.97,1.67,0.46
82.0,3.56,2.58,0.21,3.06,3.93
83.0,1.03,0.85,0.88,3.31,1.78
84.0,1.55,1.28,1.94,3.75,4.85
85.0,1.76,1.27,3.62,3.7,4.11
86.0,1.2,2.75,1.52,3.44,3.38
87.0,0.37,4.07,1.73,4.23,0.81
88.0,3.46,1.05,4.17,3.05,2.81
89.0,2.09,4.18,2.7,3.9,0.19
90.0,3.77,4.35,2.26,4.76,1.96
91.0,0.08,2.48,1.57,4.56,2.77
92.0,4.39,0.42,1.26,3.35,4.07
93.0,0.05,1.58,1.55,4.17,2.69
94.0,1.86,4.6,4.88,3.69,2.99
95.0,1.0,3.34,3.32,4.35,1.22
96.0,3.07,3.36,3.63,1.54,1.47
97.0,0.97,2.5,3.19,3.7,3.06
98.0,4.6,4.0,0.52,2.17,1.46
99.0,3.85,2.39,0.5,0.84,1.15
100.0,0.37,0.72,2.3,0.1,3.88
